Timestamp,Ax(m/s^2),Ay(m/s^2),Az(m/s^2),Gx(deg/s),Gy(deg/s),Gz(deg/s)
1745409303.2496,0.1867,0.2682,9.8497,-2.0611,-0.5573,0.3588
1745409303.3557,0.2083,0.1867,9.9431,-2.1679,-0.5267,0.3130
1745409303.4618,0.1676,0.2682,9.9144,-1.8550,-0.6794,0.1908
1745409303.5678,0.2849,0.2203,9.8521,-2.1756,-0.5802,0.5038
1745409303.6739,0.1460,0.2490,9.9048,-2.1908,-0.8168,0.2824
1745409303.7800,0.1580,0.2322,9.8689,-2.0534,-0.9542,0.1374
1745409303.8860,0.0575,0.1796,9.8330,-2.0687,-0.6336,0.2672
1745409303.9921,0.2729,0.2059,9.8162,-2.0076,-0.6794,0.3817
1745409304.0981,0.1676,0.2370,9.8593,-2.0305,-0.4656,0.2672
1745409304.2042,0.1796,0.2442,9.8665,-0.0076,-0.7176,0.2977
1745409304.3102,0.1245,0.2418,9.8904,-2.0687,-0.5954,0.3588
1745409304.4163,0.1365,0.2394,9.6582,-1.9084,-0.5115,0.4198
1745409304.5224,0.1173,0.1867,9.8258,-2.0763,-0.6794,0.2672
1745409304.6317,0.1867,0.2322,9.9072,-1.9695,-0.3588,0.3588
1745409304.7379,0.1460,0.1891,9.8641,-1.9237,-0.5420,0.3588
1745409304.8440,0.0024,0.2442,9.8665,-3.9008,-0.7405,0.2290
1745409304.9502,0.1604,0.1844,9.9192,-3.8855,-0.6870,0.4427
1745409305.0565,0.2035,0.2083,9.8378,-2.0763,-0.4733,0.5115
1745409305.1631,0.1748,0.2251,9.9240,-2.1527,-0.4580,0.1985
1745409305.2753,0.1580,0.1844,9.8521,-1.8855,-0.4580,0.2672
1745409305.3813,0.1580,0.2658,9.8809,-2.0611,-0.5954,0.2595
1745409305.4874,0.1413,0.2179,9.7875,-2.1679,-0.5878,0.2061
1745409305.5934,0.2203,0.2346,9.8090,-2.1298,-0.6183,0.3664
1745409305.6995,0.1484,0.2442,9.8378,-2.0153,-0.7939,0.4275
1745409305.8055,0.1844,0.1987,9.8066,-2.1450,-0.5496,0.2595
1745409305.9115,0.1484,0.2298,9.8234,-2.1374,-0.6565,0.4046
1745409306.0176,0.0311,0.2179,9.8330,-2.0916,-0.6718,0.1145
1745409306.1236,0.1389,0.1891,9.9311,-1.9924,-0.9389,0.2977
1745409306.2299,0.0144,0.2490,9.8162,-2.1908,-0.8015,0.3588
1745409306.3359,0.1676,0.2825,9.6606,-2.1374,-0.6565,0.4656
1745409306.4420,0.1389,0.2131,9.8593,-1.9695,-0.6489,0.0840
1745409306.5485,0.1676,0.2179,9.9288,-0.0534,-0.4733,0.3130
1745409306.6546,0.1460,0.2059,9.8378,-1.9618,-0.6107,0.1832
1745409306.7608,0.1508,0.2538,9.8306,-2.1069,-0.6794,0.2214
1745409306.8668,0.1053,0.2394,9.8450,-3.8550,-0.6412,0.3435
1745409306.9728,0.1676,0.2298,9.8474,-2.0687,-0.4504,0.3206
1745409307.0789,0.1269,0.2322,9.8569,-2.0992,-0.4962,0.3969
1745409307.1849,0.2753,0.2227,9.7133,-2.0382,-0.6870,0.2595
1745409307.2910,0.1700,0.2370,9.9240,-1.9466,-0.6031,0.1756
1745409307.3971,0.2897,0.2514,9.8162,-1.8702,-0.8015,0.2748
1745409307.5031,0.2179,0.2394,9.8330,-2.0916,-0.5649,0.1756
1745409307.6092,0.2203,0.2538,9.7971,-2.2061,-0.5496,0.1679
1745409307.7168,0.0694,0.1915,9.8474,-2.1069,-0.5649,0.5725
1745409307.8256,0.1413,0.2227,9.7899,-2.0382,-0.6107,0.2137
1745409307.9347,0.0144,0.2227,9.9120,-2.1069,-0.6565,0.2519
1745409308.0441,0.1772,0.2777,9.9096,-3.8626,-0.6641,0.3359
1745409308.1501,0.1652,0.1987,9.8569,-0.0611,-0.6947,0.3664
1745409308.2561,0.2107,0.2442,9.9192,-1.8473,-0.4351,0.1679
1745409308.3621,0.1628,0.2682,9.9335,-2.0229,-0.6565,0.2977
1745409308.4681,0.1772,0.2538,9.8641,-2.0687,-0.6565,0.0763
1745409308.5741,0.1628,0.2801,9.8689,-2.0687,-0.7099,0.4962
1745409308.6801,0.2753,0.2610,9.8833,-2.0458,-0.4809,0.3969
1745409308.7861,0.1293,0.2274,9.9120,-2.0840,-0.6947,0.2977
1745409308.8921,0.1508,0.2418,9.8138,-1.9924,-0.5191,0.5420
1745409308.9981,0.1724,0.2227,9.8114,-2.1374,-0.7405,0.2137
1745409309.1041,0.0215,0.2514,9.8497,-2.0534,-0.7710,0.4275
1745409309.2101,0.1724,0.2490,9.8593,-0.0687,-0.7710,0.1069
1745409309.3161,0.1556,0.1891,9.8402,-1.9771,-0.6412,0.1450
1745409309.4222,0.1341,0.2993,9.8928,-2.0611,-0.5649,0.3435
1745409309.5282,0.1341,0.1700,9.7731,-2.0840,-0.4275,0.2290
1745409309.6342,0.1987,0.2466,9.9431,-2.0840,-0.5649,0.5573
1745409309.7402,0.1221,0.1915,9.8689,-1.9924,-0.8473,0.2214
1745409309.8462,0.1772,0.2203,9.8043,-2.1145,-0.7939,0.2290
1745409309.9523,0.0599,0.2490,9.7085,-2.1221,-0.5954,0.3206
1745409310.0594,0.1604,0.2035,9.8641,-1.9389,-0.7023,0.2519
1745409310.1654,0.1748,0.2442,9.9120,-1.8702,-0.6794,0.2595
1745409310.2714,0.1676,0.2682,9.8569,-2.0076,-0.7023,0.4733
1745409310.3774,0.1389,0.2131,9.8569,-2.0611,-0.7023,0.4580
1745409310.4834,0.1580,0.1844,9.8234,-2.0305,-0.6565,0.4198
1745409310.5894,0.1053,0.2442,9.8043,-2.1298,-0.6260,0.3053
1745409310.6954,0.2921,0.2322,9.8426,-1.9695,-0.5573,0.4275
1745409310.8014,0.1341,0.2059,9.6941,-2.0687,-0.6412,0.0534
1745409310.9074,0.1484,0.2394,9.7636,-1.9237,-0.5038,0.4122
1745409311.0135,0.2035,0.2394,9.8210,-0.0153,-0.4351,0.3664
1745409311.1195,0.1844,0.2370,9.8785,-1.9847,-0.5344,0.2061
1745409311.2255,0.1460,0.1987,9.8426,-1.7557,-0.5344,0.3130
1745409311.3315,0.1556,0.2131,9.8593,-2.0611,-0.4885,0.2519
1745409311.4375,0.0000,0.2059,9.9048,-2.1450,-0.6870,0.2290
1745409311.5438,0.1173,0.2035,9.8952,-1.8855,-0.5496,0.1527
1745409311.6501,0.1987,0.2035,9.6654,-3.8931,-0.8092,0.3282
1745409311.7562,0.1460,0.1891,9.8857,-3.9008,-0.5191,0.2214
1745409311.8637,0.0048,0.1987,9.8019,-2.0840,-0.5573,0.3893
1745409311.9705,0.0096,0.1867,9.8330,-1.9008,-0.7252,0.3130
1745409312.0787,0.2921,0.1724,9.8282,-2.1756,-0.6641,0.1374
1745409312.1865,0.1700,0.2394,9.8258,-2.1069,-0.7176,0.2977
1745409312.2956,0.0024,0.2634,9.8186,-1.9160,-0.7863,0.4198
1745409312.4016,0.2035,0.1844,9.9048,-1.9389,-0.4656,0.2366
1745409312.5077,0.1580,0.2370,9.8138,-2.0229,-0.7481,0.3282
1745409312.6137,0.1963,0.2442,9.7923,-3.8855,-0.7099,0.2519
1745409312.7198,0.2059,0.1844,9.7875,-2.1145,-0.4656,0.2214
1745409312.8258,0.0790,0.2370,9.8761,-2.0840,-0.7939,0.3511
1745409312.9357,0.0192,0.2059,9.8210,-1.8626,-0.6565,0.2977
1745409313.0422,0.1724,0.1580,9.8138,-2.1374,-0.7634,0.3206
1745409313.1483,0.2658,0.1652,9.8593,-1.9847,-0.5191,0.3740
1745409313.2585,0.1460,0.2634,9.8881,-2.0305,-0.6031,0.0916
1745409313.3645,0.2107,0.2394,9.8474,-2.1221,-0.7710,0.2061
1745409313.4705,0.2059,0.2801,9.8689,-1.8702,-0.7557,0.1756
1745409313.5765,0.1915,0.1867,9.7707,-2.1298,-0.5267,0.2061
1745409313.6824,0.1748,0.2705,9.8066,-2.0229,-0.5725,0.2366
1745409313.7884,0.2394,0.1772,9.8162,-2.1679,-0.6260,0.1908
1745409313.8944,0.1820,0.2729,9.8665,-2.0305,-0.5191,0.2214
1745409314.0004,0.0982,0.2035,9.8306,-2.1374,-0.6870,0.2519
1745409314.1064,0.1030,0.2298,9.8497,-2.1679,-0.3511,0.3893
1745409314.2124,0.1484,0.1796,9.8857,-3.8702,-0.6947,0.4580
1745409314.3184,0.1532,0.1891,9.8521,-1.9008,-0.5496,0.3130
1745409314.4244,0.2107,0.2346,9.8138,-2.0382,-0.5878,0.4504
1745409314.5304,0.1077,0.2274,9.8282,-2.0687,-0.5649,0.4962
1745409314.6364,0.2083,0.2155,9.8593,-2.0000,-0.5878,0.3588
1745409314.7423,0.1508,0.2035,9.8330,-0.0840,-0.7557,0.4046
1745409314.8483,0.1676,0.2155,9.7971,-1.9695,-0.7176,0.2595
1745409314.9543,0.1700,0.2035,9.7324,-2.0382,-0.7939,0.2748
1745409315.0603,0.1724,0.2562,9.8474,-1.9771,-0.5420,0.3206
1745409315.1663,0.1413,0.2274,9.7659,-2.0992,-0.7710,0.0305
1745409315.2722,0.1556,0.2921,9.8210,-1.9847,-0.7863,0.4351
1745409315.3782,0.3017,0.2155,9.9359,-2.0611,-0.5878,0.2824
1745409315.4842,0.1484,0.2083,9.9000,-3.9084,-0.6947,0.1527
1745409315.5902,0.1844,0.1939,9.9551,-1.9618,-0.6794,0.3359
1745409315.6962,0.0144,0.1772,9.8617,-2.1298,-0.7328,0.0458
1745409315.8023,0.1173,0.2418,9.6750,-1.9847,-0.6641,0.0916
1745409315.9083,0.1796,0.2155,9.8043,-2.1069,-0.5649,0.2519
1745409316.0147,0.2370,0.1676,9.9455,-1.9313,-0.6031,0.2290
1745409316.1209,0.1580,0.2610,9.8928,-3.9008,-0.7710,0.3053
1745409316.2271,0.1772,0.1987,9.8952,-0.0229,-0.6107,0.2901
1745409316.3332,0.1269,0.2059,9.8378,-2.1450,-0.6031,0.3359
1745409316.4392,0.0024,0.2083,9.8617,-2.0916,-0.6260,0.2443
1745409316.5470,0.0000,0.1939,9.8450,-0.0458,-0.5038,0.4504
1745409316.6562,0.1724,0.2107,9.7995,-1.9466,-0.5878,0.3435
1745409316.7649,0.2011,0.2083,9.8474,-1.9313,-0.6718,0.1908
1745409316.8711,0.0263,0.1820,9.9359,-2.0763,-0.5191,0.4885
1745409316.9771,0.1939,0.2155,9.8593,-1.9924,-0.6718,0.1985
1745409317.0830,0.1676,0.1963,9.8497,-2.0611,-0.7328,0.2977
1745409317.1890,0.0455,0.2370,9.9479,-1.9237,-0.7710,0.4504
1745409317.2950,0.0934,0.2203,9.8450,-2.0153,-0.7328,0.2672
1745409317.4010,0.1772,0.3160,9.8450,-1.9618,-0.5725,0.0840
1745409317.5070,0.1628,0.1772,9.8809,-2.0534,-0.6565,0.3511
