Timestamp,Ax(m/s^2),Ay(m/s^2),Az(m/s^2),Gx(deg/s),Gy(deg/s),Gz(deg/s)
1745320792.8474,0.1844,0.1772,9.7348,-1.5954,-1.1527,0.1450
1745320792.9534,0.2083,0.1891,9.7851,-1.6412,-0.8015,0.1603
1745320793.0597,0.2394,0.1101,10.1466,-1.5267,-1.7176,1.8550
1745320793.1658,0.2059,0.2298,9.5241,-1.8473,-0.2137,0.0382
1745320793.2720,0.2873,0.1532,9.7803,-0.0153,-0.3282,0.3588
1745320793.3781,0.5483,0.5555,9.3637,-1.7863,-1.8702,0.1908
1745320793.4842,0.0072,-0.1125,9.8402,-1.6794,-1.1679,-1.9237
1745320793.5904,0.3807,0.1437,9.6893,-1.3817,-0.9466,0.2672
1745320793.6965,0.2155,0.2466,9.7444,-1.7786,-1.1450,0.2748
1745320793.8042,0.2969,0.0742,9.6415,-1.6641,-0.6947,0.1450
1745320793.9102,-0.1772,-0.1413,9.2632,-3.1298,5.5344,-0.3588
1745320794.0162,0.6297,-0.0072,9.0860,-0.2214,-6.1298,0.3511
1745320794.1223,0.2107,0.7015,9.6319,-2.2137,0.0534,0.0534
1745320794.2283,0.2346,-0.1772,9.8066,-1.6718,-0.8626,0.0840
1745320794.3343,0.2155,0.2921,9.6367,-1.3588,-0.9618,0.1832
1745320794.4403,0.1772,0.2035,9.8090,-1.7710,-0.8015,-0.1069
1745320794.5464,0.0766,0.1221,9.8330,-1.5802,-0.9466,0.2290
1745320794.6524,0.0599,0.2251,9.7348,-1.3817,-1.5191,0.0763
1745320794.7584,0.2945,0.2610,9.5217,-1.8397,-0.6031,1.9466
1745320794.8645,0.2155,-0.0048,9.6558,-1.5267,-0.4962,0.3740
1745320794.9705,0.1844,0.2993,9.7659,-1.7176,-1.3588,-0.1679
1745320795.0766,0.0814,0.0766,9.6798,-1.7328,-0.7099,0.1985
1745320795.1826,0.1820,0.2610,9.8521,-1.5573,-1.1298,0.0305
1745320795.2887,0.0790,0.2179,10.0556,-1.5420,-0.0229,0.0382
1745320795.3947,0.2682,0.0215,9.6486,-1.6489,-0.4656,0.2214
1745320795.5007,0.2370,0.2442,9.6989,-1.6031,-0.9160,0.0840
1745320795.6068,0.1820,0.1580,9.9096,-1.7023,-1.2595,1.9466
1745320795.7129,0.1748,0.0694,9.8354,-1.5954,-1.1603,0.2824
