Timestamp,Ax(m/s^2),Ay(m/s^2),Az(m/s^2),Gx(deg/s),Gy(deg/s),Gz(deg/s)
1745409400.4524,0.2179,0.7159,8.3270,-2.7786,1.6565,0.0305
1745409400.5584,0.2682,0.5674,8.9878,-1.1679,-0.3130,0.2443
1745409400.6645,0.1508,0.3974,9.3972,-0.6641,-3.7634,0.1527
1745409400.7706,0.0168,0.0120,9.5457,-0.8397,-3.4504,0.5649
1745409400.8766,0.0886,-0.3807,10.3190,-0.1221,-3.4962,0.2901
1745409400.9827,0.0144,-0.3448,11.1642,-0.6489,-2.7405,0.3053
1745409401.0887,0.1724,-0.2921,11.2049,-1.9771,-0.6412,0.3893
1745409401.1947,0.5626,0.1915,9.5744,-4.1679,2.3435,0.1221
1745409401.3008,0.6416,0.6488,8.3318,-3.3969,2.9618,0.2519
1745409401.4068,0.0599,0.5531,9.0525,-1.6107,-2.6183,0.2443
1745409401.5128,-0.2753,0.1796,10.5680,-0.8397,-4.0916,0.4046
1745409401.6189,-0.0910,0.0646,10.5153,-1.4351,0.1527,0.1908
1745409401.7249,0.1125,0.1413,10.3573,-2.7405,0.6870,-1.8550
1745409401.8310,0.4741,0.3232,8.8562,-2.6412,0.8168,0.2977
1745409401.9371,0.3017,0.1844,9.4379,-1.7786,-1.7252,0.3969
1745409402.0432,0.4166,0.0551,10.0245,-1.1298,-1.0534,0.3053
1745409402.1492,0.1604,-0.0359,10.6638,-0.9313,-0.5496,0.3588
1745409402.2553,-0.0215,0.1245,11.0612,-1.5496,-2.4656,0.3664
1745409402.3635,0.0455,0.6847,9.1746,-3.9771,0.9084,0.1298
1745409402.4695,0.0646,0.7542,8.4755,-2.9008,1.2061,-1.9237
1745409402.5756,-0.1197,0.4405,9.7683,-1.1908,-2.5725,0.3511
1745409402.6816,0.2083,-0.1341,10.3525,-1.2672,-1.2519,0.5802
1745409402.7877,0.1532,-0.2442,11.2887,-1.2443,-1.4275,0.1908
1745409402.8937,0.4764,0.2442,9.4020,-4.0076,1.6260,0.1221
1745409402.9998,0.4764,0.6009,8.6095,-2.6183,1.4351,0.1603
1745409403.1058,-0.1365,0.4214,9.8402,-0.7176,-4.2366,0.4580
1745409403.2118,-0.0096,0.1365,10.8122,-0.6107,-1.8321,0.1603
1745409403.3179,-0.0383,0.0622,10.6590,-2.4427,0.7863,0.0763
1745409403.4239,0.2921,0.5962,9.1506,-3.9008,0.8092,-1.8397
1745409403.5299,0.4501,0.2658,9.3158,-1.9389,0.4122,0.2290
1745409403.6359,0.1796,0.0215,9.8641,-1.0000,-2.1069,0.3969
1745409403.7419,0.4453,-0.0622,10.0676,-1.0992,0.0153,0.0458
1745409403.8480,-0.1197,-0.0383,10.8888,-1.0687,-3.8626,0.2824
1745409403.9540,-0.1125,0.3232,10.3262,-3.6260,-1.6794,0.4504
1745409404.0600,0.1269,0.6560,9.0285,-3.3511,2.5344,0.1221
1745409404.1660,0.0575,0.5243,9.0237,-1.6107,-1.2748,0.0840
1745409404.2721,0.1293,-0.1245,10.3430,-0.5115,-1.7099,0.2977
1745409404.3781,0.1293,-0.2682,10.5153,-1.6183,-1.2214,0.3282
1745409404.4841,0.2586,0.0192,10.2424,-3.4733,-0.5344,0.3282
1745409404.5901,0.5818,0.5339,8.7580,-4.1145,2.1374,-0.2901
1745409404.6988,0.4453,0.6009,8.7939,-2.2595,-1.9389,0.1985
1745409404.8049,-0.2274,0.1796,10.4722,-0.2214,-4.2748,0.5725
1745409404.9110,-0.1413,0.0263,10.4411,-1.7099,-0.3893,0.5878
1745409405.0179,0.1101,0.2514,9.6726,-3.4275,0.6870,0.1298
1745409405.1240,0.4908,0.3926,8.9950,-3.4809,0.5649,0.2137
1745409405.2376,0.4334,0.3400,9.2225,-2.2824,-0.0992,0.1908
